x,y,p0,p1,p2
-2.127556,0.8045405,0.0000000052615534,0.00000000000037914824,1
-2.127556,0.8545405,0.0000000019491435,0.00000000000024238473,1
-2.127556,0.90454054,0.0000000007427155,0.00000000000015707638,1
-2.127556,0.95454055,0.00000000031417377,0.000000000000105791325,1
-2.127556,1.0045406,0.00000000015190625,0.000000000000075148316,1
-2.127556,1.0545405,0.000000000079537904,0.000000000000054400854,1
-2.127556,1.1045405,0.000000000048853404,0.00000000000004147117,1
-2.127556,1.1545404,0.000000000030830387,0.000000000000031880003,1
-2.127556,1.2045404,0.00000000001980856,0.000000000000024613022,1
-2.127556,1.2545403,0.000000000012995231,0.000000000000019098318,1
-2.127556,1.3045403,0.0000000000085253905,0.000000000000014819245,1
-2.127556,1.3545402,0.000000000005593008,0.0000000000000114989195,1
-2.127556,1.4045402,0.0000000000037252775,0.000000000000008895206,1
-2.127556,1.4545401,0.0000000000025398516,0.000000000000006848609,1
-2.127556,1.5045401,0.0000000000017316418,0.0000000000000052728898,1
-2.127556,1.55454,0.0000000000011806158,0.0000000000000040597256,1
-2.127556,1.60454,0.0000000000008049289,0.0000000000000031256693,1
-2.127556,1.65454,0.0000000000005487903,0.0000000000000024065286,1
-2.127556,1.7045399,0.0000000000003741611,0.0000000000000018528445,1
-2.127556,1.7545398,0.00000000000025509827,0.0000000000000014265445,1
-2.127556,1.8045398,0.00000000000017392343,0.0000000000000010983312,1
-2.127556,1.8545398,0.00000000000011857923,0.0000000000000008456286,1
-2.127556,1.9045397,0.00000000000008084581,0.0000000000000006510675,1
-2.127556,1.9545397,0.000000000000055119856,0.0000000000000005012726,1
-2.127556,2.0045397,0.00000000000003758002,0.00000000000000038594193,1
-2.127556,2.0545397,0.000000000000025621676,0.00000000000000029714493,1
-2.127556,2.1045396,0.0000000000000174686,0.00000000000000022877907,1
-2.127556,2.1545396,0.000000000000011909869,0.00000000000000017614188,1
-2.0775561,-2.1454587,1,0.000000000000000000007787275,0.000000000000000000000017336282
-2.0775561,-2.0954587,1,0.000000000000000000013551996,0.000000000000000000000048516495
-2.0775561,-2.0454588,1,0.00000000000000000002358419,0.00000000000000000000013577493
-2.0775561,-1.9954588,1,0.00000000000000000004104281,0.00000000000000000000037997034
-2.0775561,-1.9454589,1,0.000000000000000000071426025,0.0000000000000000000010633629
-2.0775561,-1.8954589,1,0.0000000000000000001243004,0.000000000000000000002975877
-2.0775561,-1.845459,1,0.00000000000000000021796103,0.000000000000000000008590381
-2.0775561,-1.795459,1,0.00000000000000000038629337,0.000000000000000000025905329
-2.0775561,-1.7454591,1,0.00000000000000000068462705,0.000000000000000000078120637
-2.0775561,-1.6954591,1,0.0000000000000000012233743,0.000000000000000000245279
-2.0775561,-1.6454592,1,0.0000000000000000021994482,0.00000000000000000079352713
-2.0775561,-1.5954592,1,0.0000000000000000039543162,0.0000000000000000025672204
-2.0775561,-1.5454593,1,0.000000000000000007109283,0.000000000000000008305508
-2.0775561,-1.4954593,1,0.0000000000000000127815,0.000000000000000026869996
-2.0775561,-1.4454594,1,0.00000000000000002297918,0.00000000000000008692953
-2.0775561,-1.3954594,1,0.000000000000000041313522,0.00000000000000028123566
-2.0775561,-1.3454595,1,0.00000000000000007427568,0.0000000000000009098541
-2.0775561,-1.2954595,1,0.00000000000000013353681,0.0000000000000029435619
-2.0775561,-1.2454596,1,0.00000000000000024007966,0.000000000000009523017
-2.0775561,-1.1954596,1,0.00000000000000043147996,0.0000000000000308234
-2.0775561,-1.1454597,1,0.0000000000000007754361,0.000000000000099773766
-2.0775561,-1.0954597,1,0.0000000000000013935624,0.00000000000032296317
-2.0775561,-1.0454597,1,0.0000000000000025044373,0.0000000000010454212
-2.0775561,-0.99545974,1,0.0000000000000045008265,0.0000000000033839812
-2.0775561,-0.9454597,1,0.000000000000008088618,0.000000000010953794
-2.0775561,-0.8954597,1,0.000000000000014536385,0.00000000003545707
-2.0775561,-0.8454597,1,0.000000000000026122135,0.000000000114753027
-2.0775561,-0.7954597,1,0.000000000000046929484,0.00000000037115647
-2.0775561,-0.7454597,1,0.00000000000008431074,0.0000000012004615
-2.0775561,-0.69545966,1,0.00000000000015146769,0.00000000388275
-2.0775561,-0.64545965,1,0.0000000000002721174,0.000000012558295
-2.0775561,-0.59545964,1,0.0000000000004888691,0.000000040618236
-2.0775561,-0.5454596,0.9999999,0.00000000000087827326,0.0000001313751
-2.0775561,-0.49545962,0.9999995,0.0000000000015778563,0.00000042491823
-2.0775561,-0.4454596,0.99999857,0.0000000000028346754,0.0000013743451
-2.0775561,-0.3954596,0.9999956,0.000000000005092595,0.0000044451594
